epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.267,2.00153,2.49875,2.06222,0.41297,0.32689,0.28797,0.10319,2.30969,2.5201,2.38591,0.000237212,0.000237212,0.000237212
2,505.879,2.01698,2.52123,2.06766,0.45419,0.24591,0.25842,0.09015,2.29832,2.68261,2.43759,0.000465803,0.000465803,0.000465803
3,744.205,2.02899,2.53321,2.0872,0.37949,0.27649,0.23182,0.07657,2.34264,2.78456,2.48739,0.000684969,0.000684969,0.000684969
4,981.004,2.02414,2.54915,2.07999,0.31223,0.22418,0.18892,0.0664,2.39405,2.7272,2.40165,0.000671588,0.000671588,0.000671588
5,1217.07,2.01813,2.51938,2.07243,0.37292,0.27717,0.23816,0.0807,2.33643,2.78618,2.47093,0.000657451,0.000657451,0.000657451
6,1454.07,2.0506,2.54936,2.10077,0.38715,0.30367,0.25179,0.0866,2.33348,2.62222,2.48751,0.000643314,0.000643314,0.000643314
7,1697.45,2.01714,2.50043,2.04897,0.3986,0.29348,0.26696,0.09431,2.30559,2.63754,2.44648,0.000629177,0.000629177,0.000629177
8,1939.34,2.02898,2.49686,2.06736,0.43359,0.27853,0.26948,0.09693,2.32135,2.60766,2.38904,0.00061504,0.00061504,0.00061504
9,2177.01,2.01123,2.4984,2.03702,0.37443,0.26223,0.22108,0.07775,2.32133,2.77565,2.46612,0.000600902,0.000600902,0.000600902
10,2416.11,2.01888,2.50803,2.05779,0.40934,0.31929,0.29842,0.10134,2.38026,2.50643,2.42486,0.000586765,0.000586765,0.000586765
11,2656.17,2.01651,2.52269,2.06555,0.36631,0.24185,0.22965,0.08342,2.36455,2.67541,2.39885,0.000572628,0.000572628,0.000572628
12,2897.31,2.00525,2.49744,2.04255,0.38319,0.20041,0.20472,0.06472,2.43294,2.84272,2.45358,0.000558491,0.000558491,0.000558491
13,3138.56,2.02796,2.4976,2.06168,0.41461,0.2466,0.24749,0.09031,2.31669,2.61764,2.39354,0.000544354,0.000544354,0.000544354
14,3380.15,2.00507,2.48465,2.04758,0.42364,0.29348,0.28606,0.09896,2.32251,2.54759,2.38817,0.000530216,0.000530216,0.000530216
15,3621.58,1.97797,2.43804,2.039,0.43495,0.28601,0.28139,0.1007,2.28562,2.57888,2.3946,0.000516079,0.000516079,0.000516079
16,3861.63,1.98184,2.44574,2.01503,0.45367,0.28668,0.28874,0.10331,2.28742,2.63142,2.36806,0.000501942,0.000501942,0.000501942
17,4102.48,1.98612,2.45043,2.02395,0.40595,0.30231,0.28278,0.10375,2.28885,2.50934,2.33553,0.000487805,0.000487805,0.000487805
18,4343.11,2.00099,2.45221,2.0089,0.39384,0.3091,0.29071,0.1054,2.28238,2.48352,2.3828,0.000473668,0.000473668,0.000473668
19,4585.51,1.98217,2.43526,2.00307,0.40387,0.32065,0.29728,0.10395,2.2931,2.57041,2.41035,0.00045953,0.00045953,0.00045953
20,4825.79,1.96713,2.40918,2.01407,0.48319,0.27649,0.2953,0.108,2.30082,2.49824,2.36573,0.000445393,0.000445393,0.000445393
21,5069.1,1.9762,2.39284,1.99467,0.4343,0.31522,0.30041,0.10665,2.2631,2.52698,2.41346,0.000431256,0.000431256,0.000431256
22,5308.34,1.97003,2.36375,1.99384,0.45969,0.26359,0.28616,0.10591,2.31172,2.56915,2.35225,0.000417119,0.000417119,0.000417119
23,5550.24,1.96172,2.39521,1.98794,0.41092,0.28812,0.27996,0.10453,2.29018,2.49309,2.3916,0.000402982,0.000402982,0.000402982
24,5787.12,1.97812,2.40108,2.01616,0.45687,0.31202,0.31196,0.11317,2.26538,2.46805,2.37849,0.000388844,0.000388844,0.000388844
25,6027.04,1.9667,2.37936,1.98627,0.41167,0.30185,0.28781,0.10501,2.33151,2.51103,2.3818,0.000374707,0.000374707,0.000374707
26,6267.05,1.97024,2.38275,1.98854,0.43919,0.31922,0.3055,0.11064,2.3157,2.4681,2.37031,0.00036057,0.00036057,0.00036057
27,6507.37,1.96792,2.36887,1.98003,0.4284,0.27853,0.28253,0.10242,2.2498,2.51899,2.37852,0.000346433,0.000346433,0.000346433
28,6745.5,1.95875,2.40652,1.99108,0.45183,0.31077,0.32134,0.11942,2.23724,2.43749,2.32891,0.000332296,0.000332296,0.000332296
29,6984.53,1.93869,2.38297,1.97336,0.44337,0.29688,0.3124,0.11374,2.25858,2.41037,2.32922,0.000318158,0.000318158,0.000318158
30,7222.21,1.92589,2.30734,1.95306,0.4184,0.31718,0.30105,0.10886,2.30699,2.50503,2.38075,0.000304021,0.000304021,0.000304021
31,7458.88,1.94799,2.3592,1.98565,0.40769,0.26562,0.26809,0.09951,2.25718,2.55077,2.36115,0.000289884,0.000289884,0.000289884
32,7696.26,1.95397,2.39083,1.98529,0.41149,0.35326,0.31859,0.11909,2.27353,2.40038,2.37228,0.000275747,0.000275747,0.000275747
33,7933.41,1.92569,2.37305,1.97866,0.40744,0.33288,0.30839,0.11235,2.25886,2.41814,2.37467,0.00026161,0.00026161,0.00026161
34,8170.85,1.93428,2.34376,1.98659,0.40857,0.31046,0.28517,0.10568,2.23134,2.50106,2.36871,0.000247472,0.000247472,0.000247472
35,8408.32,1.92859,2.31485,1.95887,0.43065,0.33708,0.31976,0.11592,2.26937,2.38839,2.36279,0.000233335,0.000233335,0.000233335
36,8645.17,1.92487,2.32097,1.96067,0.39323,0.31793,0.28847,0.10871,2.29098,2.48599,2.38323,0.000219198,0.000219198,0.000219198
37,8882.06,1.91361,2.32124,1.95574,0.42143,0.33356,0.30971,0.11556,2.24702,2.41509,2.31882,0.000205061,0.000205061,0.000205061
38,9118.58,1.90088,2.31424,1.93738,0.41869,0.34511,0.31483,0.11746,2.26514,2.39943,2.33259,0.000190924,0.000190924,0.000190924
39,9354.33,1.9036,2.29027,1.93241,0.44077,0.33832,0.32387,0.11875,2.24069,2.38925,2.343,0.000176786,0.000176786,0.000176786
40,9592.24,1.91298,2.29505,1.94279,0.43531,0.33288,0.31862,0.12059,2.22752,2.39193,2.32933,0.000162649,0.000162649,0.000162649
41,9831.23,1.95121,2.29826,2.02396,0.43677,0.35665,0.33439,0.12201,2.24688,2.3959,2.35933,0.000148512,0.000148512,0.000148512
42,10072,1.95083,2.28069,2.02316,0.43209,0.33287,0.3249,0.12217,2.26274,2.4186,2.34063,0.000134375,0.000134375,0.000134375
43,10309.1,1.92756,2.2001,1.99098,0.40336,0.35462,0.32669,0.12524,2.24371,2.35005,2.3398,0.000120238,0.000120238,0.000120238
44,10547.3,1.92165,2.28514,1.99716,0.44794,0.34727,0.33743,0.12516,2.23022,2.36114,2.34221,0.0001061,0.0001061,0.0001061
45,10782.9,1.93032,2.19852,1.99495,0.44021,0.35938,0.34783,0.12754,2.23988,2.32193,2.33055,9.19632e-05,9.19632e-05,9.19632e-05
46,11022.6,1.89874,2.17915,1.9815,0.4331,0.36549,0.34256,0.12788,2.24853,2.32069,2.3279,7.7826e-05,7.7826e-05,7.7826e-05
47,11259.2,1.92863,2.20474,2.00041,0.43514,0.36141,0.34212,0.13034,2.23303,2.30986,2.3321,6.36888e-05,6.36888e-05,6.36888e-05
48,11496.3,1.90968,2.16929,1.98535,0.43334,0.37976,0.34482,0.12878,2.23831,2.29714,2.34091,4.95516e-05,4.95516e-05,4.95516e-05
49,11732.3,1.89684,2.10812,1.96496,0.4447,0.36821,0.35051,0.13185,2.248,2.29709,2.32645,3.54144e-05,3.54144e-05,3.54144e-05
50,11968.8,1.91388,2.21413,1.98313,0.44775,0.37024,0.35342,0.13108,2.23533,2.30341,2.33848,2.12772e-05,2.12772e-05,2.12772e-05
